"","Partido","agrotox","cartvdam","cons_mp","conv_interam_rac","correios","div_fundpart","dsil","eletrobras","fundeb_igrej","grilagem","imp_renda","improb_base","improb_dolo","improb_nep","ind.BC","jogazar","lib_san_bas","lic_amb","mineracao_votourg","minireftrab","pec.emg","posse_armas","precatorios","proib_desp_pand","refprev","sisteleit","sisteleit_col","sisteleit_dist","telecom","vot_imp"
"207309","UNIÃO",NA,"Sim",NA,"Sim",NA,NA,NA,NA,"Sim",NA,NA,NA,NA,NA,NA,NA,"Sim",NA,NA,NA,NA,"Sim",NA,NA,NA,NA,NA,NA,NA,NA
"204569","UNIÃO","Sim","Sim","Não","Sim",NA,"Não","Não","Sim","Sim",NA,"Não","Sim",NA,NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"204564","UNIÃO","Sim","Não",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim",NA,"Não","Sim","Sim",NA,"Sim","Sim","Sim","Sim",NA,"Sim",NA,"Sim","Sim","Sim","Não","Sim","Sim"
"204565","UNIÃO","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim","Não"
"204420","UNIÃO","Sim","Sim","Não","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"204536","UNIÃO","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim","Sim",NA,"Não","Não","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim","Não"
"68720","UNIÃO","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Não",NA,"Não","Não","Não","Não","Não","Sim","Sim","Sim","Não","Não","Não","Não","Não","Não"
"204548","UNIÃO","Sim",NA,"Não","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Não","Sim","Sim"
"204479","UNIÃO","Sim","Sim","Não","Não","Sim","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim"
"204386","UNIÃO","Sim","Sim","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
